state_abv,state,year,real_gdp_millions_chained_2017_dollars
AL,Alabama,2019,225272.8
AL,Alabama,2020,222288.8
AL,Alabama,2021,233726.6
AL,Alabama,2022,238556.5
AL,Alabama,2023,245354.7
AK,Alaska,2000,38428.1
AK,Alaska,2001,40014.4
AK,Alaska,2002,41904.7
AK,Alaska,2003,41235.0
AK,Alaska,2004,42880.1
AK,Alaska,2005,44406.8
AK,Alaska,2006,47546.2
AK,Alaska,2007,50126.7
AK,Alaska,2008,49926.6
AK,Alaska,2009,54951.9
AK,Alaska,2010,53652.0
AK,Alaska,2011,54045.5
AK,Alaska,2012,57087.4
AK,Alaska,2013,54627.6
AK,Alaska,2014,53303.3
AK,Alaska,2015,53681.1
AK,Alaska,2016,53463.9
AK,Alaska,2017,53550.9
AK,Alaska,2018,52479.6
AK,Alaska,2019,52377.5
AK,Alaska,2020,50332.8
AK,Alaska,2021,51454.1
AK,Alaska,2022,50767.1
AK,Alaska,2023,54059.7
AZ,Arizona,2000,224729.3
AZ,Arizona,2001,230885.6
AZ,Arizona,2002,238257.1
AZ,Arizona,2003,253743.1
AZ,Arizona,2004,264990.0
AZ,Arizona,2005,283806.2
AZ,Arizona,2006,296424.4
AZ,Arizona,2007,306611.6
AZ,Arizona,2008,302277.9
AZ,Arizona,2009,277412.4
AZ,Arizona,2010,282252.5
AZ,Arizona,2011,290411.3
AZ,Arizona,2012,297077.3
AZ,Arizona,2013,298859.9
AZ,Arizona,2014,301721.2
AZ,Arizona,2015,308582.8
AZ,Arizona,2016,319008.4
AZ,Arizona,2017,333099.0
AZ,Arizona,2018,346398.3
AZ,Arizona,2019,359576.7
AZ,Arizona,2020,365027.7
AZ,Arizona,2021,395035.9
AZ,Arizona,2022,410228.4
AZ,Arizona,2023,422399.6
AR,Arkansas,2000,95509.8
AR,Arkansas,2001,95528.7
AR,Arkansas,2002,98556.6
AR,Arkansas,2003,102948.0
AR,Arkansas,2004,108581.8
AR,Arkansas,2005,112451.1
AR,Arkansas,2006,114890.4
AR,Arkansas,2007,114026.7
AR,Arkansas,2008,113628.0
AR,Arkansas,2009,109833.1
AR,Arkansas,2010,113000.9
AR,Arkansas,2011,115241.8
AR,Arkansas,2012,116616.2
AR,Arkansas,2013,119842.8
AR,Arkansas,2014,121409.4
AR,Arkansas,2015,121532.5
AR,Arkansas,2016,123034.9
AR,Arkansas,2017,123882.6
AR,Arkansas,2018,126371.2
AR,Arkansas,2019,127220.0
AR,Arkansas,2020,128340.9
AR,Arkansas,2021,137463.6
AR,Arkansas,2022,139560.7
AR,Arkansas,2023,142860.6
CA,California,2000,1784320.6
CA,California,2001,1784567.7
CA,California,2002,1821509.5
CA,California,2003,1895287.6
CA,California,2004,1956745.5
CA,California,2005,2042141.0
CA,California,2006,2120435.4
CA,California,2007,2168940.4
CA,California,2008,2192331.8
CA,California,2009,2110679.4
CA,California,2010,2153852.8
CA,California,2011,2192887.2
CA,California,2012,2255437.3
CA,California,2013,2340335.3
CA,California,2014,2428675.7
CA,California,2015,2545979.5
CA,California,2016,2623711.7
CA,California,2017,2740550.3
CA,California,2018,2850970.3
CA,California,2019,2969609.0
CA,California,2020,2933320.2
CA,California,2021,3154188.6
CA,California,2022,3184007.8
CA,California,2023,3248656.6
CO,Colorado,2000,238739.3
CO,Colorado,2001,242650.1
CO,Colorado,2002,243701.9
CO,Colorado,2003,246017.4
CO,Colorado,2004,250069.3
CO,Colorado,2005,261992.9
CO,Colorado,2006,268190.8
CO,Colorado,2007,278733.8
CO,Colorado,2008,281803.3
CO,Colorado,2009,275659.1
CO,Colorado,2010,279385.6
CO,Colorado,2011,283963.8
CO,Colorado,2012,289339.5
CO,Colorado,2013,301484.1
CO,Colorado,2014,315399.0
CO,Colorado,2015,330526.1
CO,Colorado,2016,337685.2
CO,Colorado,2017,350209.1
CO,Colorado,2018,365204.5
CO,Colorado,2019,383725.6
CO,Colorado,2020,380188.8
CO,Colorado,2021,406451.9
CO,Colorado,2022,418818.8
CO,Colorado,2023,437056.0
CT,Connecticut,2000,233874.2
CT,Connecticut,2001,236338.1
CT,Connecticut,2002,234307.3
CT,Connecticut,2003,236719.1
CT,Connecticut,2004,252680.8
CT,Connecticut,2005,258203.7
CT,Connecticut,2006,269478.6
CT,Connecticut,2007,278485.4
CT,Connecticut,2008,277793.2
CT,Connecticut,2009,265530.8
CT,Connecticut,2010,266773.4
CT,Connecticut,2011,261555.8
CT,Connecticut,2012,263649.9
CT,Connecticut,2013,258911.0
CT,Connecticut,2014,260605.8
CT,Connecticut,2015,268869.8
CT,Connecticut,2016,268196.2
CT,Connecticut,2017,273875.1
CT,Connecticut,2018,274582.8
CT,Connecticut,2019,275225.4
CT,Connecticut,2020,260765.2
CT,Connecticut,2021,269838.7
CT,Connecticut,2022,278975.9
CT,Connecticut,2023,286628.4
DE,Delaware,2000,63388.8
DE,Delaware,2001,65724.8
DE,Delaware,2002,63702.5
DE,Delaware,2003,64316.8
DE,Delaware,2004,67735.5
DE,Delaware,2005,66381.2
DE,Delaware,2006,68411.8
DE,Delaware,2007,68132.4
DE,Delaware,2008,65771.3
DE,Delaware,2009,69186.2
DE,Delaware,2010,68291.9
DE,Delaware,2011,71103.5
DE,Delaware,2012,70562.4
DE,Delaware,2013,68656.8
DE,Delaware,2014,73961.7
DE,Delaware,2015,76211.2
DE,Delaware,2016,71941.4
DE,Delaware,2017,69555.6
DE,Delaware,2018,70856.4
DE,Delaware,2019,74627.8
DE,Delaware,2020,72506.8
DE,Delaware,2021,74657.1
DE,Delaware,2022,77149.2
DE,Delaware,2023,78014.4
FL,Florida,2000,693837.3
FL,Florida,2001,714638.0
FL,Florida,2002,746252.8
FL,Florida,2003,781834.2
FL,Florida,2004,833946.8
FL,Florida,2005,883164.5
FL,Florida,2006,909298.9
FL,Florida,2007,922288.3
FL,Florida,2008,891766.9
FL,Florida,2009,840480.6
FL,Florida,2010,851956.4
FL,Florida,2011,849395.3
FL,Florida,2012,857861.3
FL,Florida,2013,880183.5
FL,Florida,2014,905648.5
FL,Florida,2015,945929.0
FL,Florida,2016,978989.7
FL,Florida,2017,1014866.9
FL,Florida,2018,1050433.8
FL,Florida,2019,1084913.9
FL,Florida,2020,1069758.8
FL,Florida,2021,1170526.3
FL,Florida,2022,1239883.6
FL,Florida,2023,1292787.6
GA,Georgia,2000,417713.5
GA,Georgia,2001,422731.6
GA,Georgia,2002,427329.7
GA,Georgia,2003,439074.6
GA,Georgia,2004,461245.4
GA,Georgia,2005,480838.3
GA,Georgia,2006,487524.9
GA,Georgia,2007,492238.7
GA,Georgia,2008,481860.3
GA,Georgia,2009,464016.8
GA,Georgia,2010,471588.2
GA,Georgia,2011,481215.4
GA,Georgia,2012,489027.3
GA,Georgia,2013,499900.2
GA,Georgia,2014,517511.9
GA,Georgia,2015,540108.5
GA,Georgia,2016,561718.3
GA,Georgia,2017,583543.3
GA,Georgia,2018,600934.7
GA,Georgia,2019,620744.9
GA,Georgia,2020,604745.9
GA,Georgia,2021,643013.8
GA,Georgia,2022,665678.1
GA,Georgia,2023,678201.2
HI,Hawaii,2000,60745.7
HI,Hawaii,2001,60446.4
HI,Hawaii,2002,62355.2
HI,Hawaii,2003,65623.7
HI,Hawaii,2004,69332.0
HI,Hawaii,2005,72941.9
HI,Hawaii,2006,74892.9
HI,Hawaii,2007,76434.1
HI,Hawaii,2008,76830.2
HI,Hawaii,2009,74118.5
HI,Hawaii,2010,76130.2
HI,Hawaii,2011,77174.2
HI,Hawaii,2012,78694.0
HI,Hawaii,2013,80534.9
HI,Hawaii,2014,81304.9
HI,Hawaii,2015,83857.6
HI,Hawaii,2016,85670.4
HI,Hawaii,2017,87436.4
HI,Hawaii,2018,88836.4
HI,Hawaii,2019,88855.2
HI,Hawaii,2020,79840.1
HI,Hawaii,2021,84408.5
HI,Hawaii,2022,86887.8
HI,Hawaii,2023,88614.3
ID,Idaho,2000,49793.0
ID,Idaho,2001,48695.4
ID,Idaho,2002,49840.5
ID,Idaho,2003,51542.6
ID,Idaho,2004,55137.1
ID,Idaho,2005,59331.9
ID,Idaho,2006,60738.6
ID,Idaho,2007,61812.1
ID,Idaho,2008,63878.2
ID,Idaho,2009,61276.1
ID,Idaho,2010,62626.4
ID,Idaho,2011,62704.0
ID,Idaho,2012,62007.3
ID,Idaho,2013,64769.8
ID,Idaho,2014,66784.9
ID,Idaho,2015,67790.5
ID,Idaho,2016,70442.5
ID,Idaho,2017,72935.1
ID,Idaho,2018,77652.1
ID,Idaho,2019,81144.3
ID,Idaho,2020,82717.4
ID,Idaho,2021,88969.6
ID,Idaho,2022,92903.7
ID,Idaho,2023,95897.9
IL,Illinois,2000,687111.4
IL,Illinois,2001,688404.3
IL,Illinois,2002,692398.1
IL,Illinois,2003,703548.8
IL,Illinois,2004,726139.0
IL,Illinois,2005,741248.6
IL,Illinois,2006,759825.7
IL,Illinois,2007,769571.6
IL,Illinois,2008,759095.3
IL,Illinois,2009,740794.3
IL,Illinois,2010,755391.4
IL,Illinois,2011,772225.6
IL,Illinois,2012,790723.3
IL,Illinois,2013,795435.2
IL,Illinois,2014,811490.1
IL,Illinois,2015,825424.9
IL,Illinois,2016,826404.7
IL,Illinois,2017,832826.8
IL,Illinois,2018,851517.2
IL,Illinois,2019,858018.3
IL,Illinois,2020,810200.9
IL,Illinois,2021,855888.1
IL,Illinois,2022,876536.0
IL,Illinois,2023,885651.3
IN,Indiana,2000,278990.4
IN,Indiana,2001,273884.4
IN,Indiana,2002,280723.0
IN,Indiana,2003,293045.2
IN,Indiana,2004,303819.8
IN,Indiana,2005,306344.6
IN,Indiana,2006,312525.5
IN,Indiana,2007,322661.7
IN,Indiana,2008,322384.3
IN,Indiana,2009,299789.0
IN,Indiana,2010,320731.8
IN,Indiana,2011,321532.8
IN,Indiana,2012,323876.2
IN,Indiana,2013,333207.4
IN,Indiana,2014,343827.8
IN,Indiana,2015,341205.2
IN,Indiana,2016,348439.2
IN,Indiana,2017,357535.8
IN,Indiana,2018,368762.9
IN,Indiana,2019,370507.2
IN,Indiana,2020,359787.3
IN,Indiana,2021,387122.0
IN,Indiana,2022,399280.8
IN,Indiana,2023,404290.3
IA,Iowa,2000,129323.4
IA,Iowa,2001,128077.5
IA,Iowa,2002,131035.2
IA,Iowa,2003,137476.9
IA,Iowa,2004,149063.2
IA,Iowa,2005,153626.8
IA,Iowa,2006,155704.5
IA,Iowa,2007,162838.1
IA,Iowa,2008,160469.1
IA,Iowa,2009,156737.2
IA,Iowa,2010,161593.1
IA,Iowa,2011,164559.3
IA,Iowa,2012,170923.7
IA,Iowa,2013,171069.1
IA,Iowa,2014,180309.9
IA,Iowa,2015,185989.2
IA,Iowa,2016,186729.9
IA,Iowa,2017,187125.0
IA,Iowa,2018,189245.1
IA,Iowa,2019,188471.4
IA,Iowa,2020,186328.2
IA,Iowa,2021,201147.1
IA,Iowa,2022,201580.4
IA,Iowa,2023,202051.4
KS,Kansas,2000,118840.9
KS,Kansas,2001,119474.1
KS,Kansas,2002,121050.5
KS,Kansas,2003,123486.7
KS,Kansas,2004,124793.2
KS,Kansas,2005,129588.2
KS,Kansas,2006,136135.8
KS,Kansas,2007,143586.6
KS,Kansas,2008,147265.0
KS,Kansas,2009,141902.5
KS,Kansas,2010,143870.1
KS,Kansas,2011,147836.8
KS,Kansas,2012,150077.1
KS,Kansas,2013,150702.9
KS,Kansas,2014,154110.1
KS,Kansas,2015,158602.6
KS,Kansas,2016,164643.7
KS,Kansas,2017,166273.6
KS,Kansas,2018,169796.9
KS,Kansas,2019,169562.3
KS,Kansas,2020,168056.8
KS,Kansas,2021,172782.4
